[2025-05-16 17:25:46,989] admindeiMac/INFO/locust.main: Starting Locust 2.36.2 (locust-cloud 1.20.6)
[2025-05-16 17:25:47,000] admindeiMac/INFO/locust.runners: Shape test starting.
[2025-05-16 17:25:47,001] admindeiMac/INFO/locust.runners: Shape worker starting
[2025-05-16 17:25:47,001] admindeiMac/INFO/locust.runners: Shape test updating to 10 users at 5.00 spawn rate
[2025-05-16 17:25:47,002] admindeiMac/INFO/locust.runners: Ramping to 10 users at a rate of 5.00 per second
[2025-05-16 17:25:47,002] admindeiMac/DEBUG/locust.runners: Ramping to {"HelloWorld": 5} (5 total users)
[2025-05-16 17:25:47,002] admindeiMac/DEBUG/locust.runners: Spawning additional {"HelloWorld": 5} ({"HelloWorld": 0} already running)...
[2025-05-16 17:25:47,002] admindeiMac/DEBUG/locust.runners: 5 users spawned
[2025-05-16 17:25:47,002] admindeiMac/DEBUG/locust.runners: All users of class HelloWorld spawned
[2025-05-16 17:25:47,003] admindeiMac/DEBUG/locust.runners: 0 users have been stopped, 5 still running
[2025-05-16 17:25:48,005] admindeiMac/DEBUG/locust.runners: Ramping to {"HelloWorld": 10} (10 total users)
[2025-05-16 17:25:48,005] admindeiMac/DEBUG/locust.runners: Spawning additional {"HelloWorld": 5} ({"HelloWorld": 5} already running)...
[2025-05-16 17:25:48,007] admindeiMac/DEBUG/locust.runners: 10 users spawned
[2025-05-16 17:25:48,007] admindeiMac/DEBUG/locust.runners: All users of class HelloWorld spawned
[2025-05-16 17:25:48,007] admindeiMac/DEBUG/locust.runners: 0 users have been stopped, 10 still running
[2025-05-16 17:25:48,007] admindeiMac/INFO/locust.runners: All users spawned: {"HelloWorld": 10} (10 total users)
[2025-05-16 17:25:48,030] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,068] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,089] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,119] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,140] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,160] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,192] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,238] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,260] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,286] admindeiMac/DEBUG/urllib3.connectionpool: Starting new HTTP connection (1): 54.187.32.55:80
[2025-05-16 17:25:48,779] admindeiMac/DEBUG/urllib3.connectionpool: http://54.187.32.55:80 "GET /api/v1/user/posts?page=1&type=-1&isActiveTab=true&&limit=10 HTTP/1.1" 200 30662
